北海道,43.34,143
青森県,40.42,140.52
岩手県,39.48,141.29
宮城県,38.18,140.46
秋田県,39.51,140.25
山形県,38.32,140.09
福島県,37.2,139.58
茨城県,36.11,140.09
栃木県,36.39,139.43
群馬県,36.3,138.45
埼玉県,36.02,139.09
千葉県,35.38,140.17
東京都,35.4,139.34
神奈川県,35.26,139.13
新潟県,37.16,138.44
富山県,36.36,137.09
石川県,36.21,136.29
福井県,35.56,136.24
山梨県,35.46,138.35
長野県,36.12,138.04
岐阜県,35.59,137.05
静岡県,35.06,138.19
愛知県,35.04,137.13
三重県,34.29,136.25
滋賀県,35.19,136.08
京都府,35.13,135.32
大阪府,34.33,135.29
兵庫県,35.02,134.41
奈良県,34.1,135.5
和歌山県,34.01,135.22
鳥取県,35.26,134.01
島根県,35.09,132.41
岡山県,34.56,133.48
広島県,34.35,132.35
山口県,34.18,131.37
徳島県,33.53,134.09
香川県,34.11,134
愛媛県,33.51,132.59
高知県,33.39,133.29
福岡県,33.29,130.43
佐賀県,33.18,130.01
長崎県,32.54,129.51
熊本県,32.3,130.48
大分県,33.19,131.15
宮崎県,32.17,131.22
鹿児島県,31.53,130.37
沖縄県,25.59,127.3
